FileName," ""Abstract""",Predicted Summary
S0010448513001553," ""We explore the notion of a Well spaced Blue noise Distribution WBD of points which combines two desirable properties. First the point distribution is random as measured by its spectrum having blue noise. Second it is well spaced in the sense that the minimum separation distance between samples is large compared to the maximum coverage distance between a domain point and a sample i.e. its Voronoi cell aspect ratios are small. It is well known that maximizing one of these properties destroys the other uniform random points have no aspect ratio bound and the vertices of an equilateral triangular tiling have no randomness. However we show that there is a lot of room in the middle to get good values for both. Maximal Poisson disk sampling provides and blue noise. We show that a standard optimization technique can improve the well spacedness while preserving randomness. Given a random point set our Opt beta algorithm iterates over the points and for each point locally optimizes its Voronoi cell aspect ratio . It can improve to a large fraction of the theoretical bound given by a structured tiling improving from 1.0 to around 0.8 about half way to 0.58 while preserving most of the randomness of the original set. In terms of both and randomness the output of Opt compares favorably to alternative point improvement techniques such as centroidal Voronoi tessellation with a constant density function which do not target directly. We demonstrate the usefulness of our output through meshing and filtering applications. An open problem is constructing from scratch a WBD distribution with a guarantee of beta 1.""",Given a random point set our Opt beta algorithm iterates over the points and for each point locally optimizes its Voronoi cell aspect ratio.
S0010448513002418," ""3D garments are created by assembling 2D patterns on human models in current mainstream garment modeling methods which usually calls for professional design skills. The high coupling between the 2D pattern making and 3D garment design blocks the designers creations. In this paper a novel approach that decouples the high coupling between garment design and pattern making is proposed. Our approach is examples based. 3D new garment models are created on individual human models by compositing 3D parts from garment examples rather than 2D patterns. The main benefit of our approach is that it is easy to operate and capable to create elegant individualized garments with highly detailed geometries. Garment prototypes represented in Coons surface automatically generated from individual human models are used to guide the garment parts composition and locally parameterize the garment parts. With the local parameterization the garment parts and the newly created garment models can be interactively edited by altering the parametric curves on the garment prototypes. Our approach makes it possible for both the designers and the common customers to express their creations and imaginations conveniently in a 3D graphical way.""",3D new garment models are created on individual human models by compositing 3D parts from garment examples rather than 2D patterns.
S0010448513001644," ""We present a novel approach to feature aware mesh deformation . Previous mesh editing methods are based on an elastic deformation model and thus tend to uniformly distribute the distortion in a least squares sense over the entire deformation region . Recent results from image resizing however show that discrete local modifications such as deleting or adding connected seams of image pixels in regions with low saliency lead to far superior preservation of local features compared to uniform scaling the image retargeting analog to least squares mesh deformation . Hence we propose a discrete mesh editing scheme that combines elastic as well as plastic deformation by transferring the concept of seam carving from image retargeting to the mesh deformation scenario . A geometry seam consists of a connected strip of triangles within the mesh s deformation region . By collapsing or splitting the interior edges of this strip we perform a deletion or insertion operation that is equivalent to image seam carving and can be interpreted as a local plastic deformation . We use a feature measure to rate the geometric saliency of each triangle in the mesh and a well adjusted distortion measure to determine where the current mesh distortion asks for plastic deformations i.e . for deletion or insertion of geometry seams . Precomputing a fixed set of low saliency seams in the deformation region allows us to perform fast seam deletion and insertion operations in a predetermined order such that the local mesh modifications are properly restored when a mesh editing operation is undone . Geometry seam carving hence enables the deformation of a given mesh in a way that causes stronger distortion in homogeneous mesh regions while salient features are preserved much better .""",Recent results from image resizing however show that discrete local modifications such as deleting or adding connected seams of image pixels in regions with low saliency lead to far superior preservation of local features compared to uniform scaling the image retargeting analog to least squares mesh deformation.
S0010448514000268," ""This paper presents an algorithm for decomposing complex line drawings which depict connected 3D manifolds into multiple simpler drawings of individual manifolds . The decomposition process has three stages decomposition at non manifold vertices along non manifold edges and across internal faces . Once non manifold vertices and or edges are found the decomposition can be performed straightforwardly . Thus the major task in this paper is decomposition across internal faces . This has two steps basic decomposition and repair of incomplete parts . The decomposition process is performed before face identification which is computationally expensive . After decomposition the time for face finding is much reduced and this in turn greatly improves the process for 3D reconstruction which is the ultimate goal .""",The decomposition process has three stages decomposition at non manifold vertices along non manifold edges and across internal faces.
S0010448513001413," ""We present a new hybrid method for solving constrained numerical and engineering optimization problems in this paper . The proposed hybrid method takes advantage of the differential evolution ability to find global optimum in problems with complex design spaces while directly enforcing feasibility of constraints using a modified augmented Lagrangian multiplier method . The basic steps of the proposed method are comprised of an outer iteration in which the Lagrangian multipliers and various penalty parameters are updated using a first order update scheme and an inner iteration in which a nonlinear optimization of the modified augmented Lagrangian function with simple bound constraints is implemented by a modified differential evolution algorithm . Experimental results based on several well known constrained numerical and engineering optimization problems demonstrate that the proposed method shows better performance in comparison to the state of the art algorithms .""",The proposed hybrid method takes advantage of the differential evolution ability to find global optimum in problems with complex design spaces while directly enforcing feasibility of constraints using a modified augmented Lagrangian multiplier method.
S0010448513001036," ""In most cases designers have to manually specify both assembly tolerance types and values when they design a mechanical product . Different designers will possibly specify different assembly tolerance types and values for the same nominal geometry . Furthermore assembly tolerance specification design of a complex product is a highly collaborative process in which semantic interoperability issues significantly arise . These situations will cause the uncertainty in assembly tolerance specification design and finally affect the quality of the product . In order to reduce the uncertainty and to support the semantic interoperability in assembly tolerance specification design an ontology based approach for automatically generating assembly tolerance types is proposed . First of all an extended assembly tolerance representation model is constructed by introducing a spatial relation layer . The constructed model is hierarchically organized and consists of part layer assembly feature surface layer and spatial relation layer . All these layers are defined with Web Ontology Language assertions . Next a meta ontology for assembly tolerance representations is constructed . With this meta ontology the domain specific assembly tolerance representation knowledge can be derived by reusing or inheriting the classes or properties . Based on this assembly tolerance representation knowledge is formalized using OWL . As a result assembly tolerance representation knowledge has well defined semantics due to the logic based semantics of OWL making it possible to automatically detect inconsistencies of assembly tolerance representation knowledge bases . The mapping relations between spatial relations and assembly tolerance types are represented in Semantic Web Rule Language . Furthermore actual generation processes of assembly tolerance types are carried out using Java Expert System Shell by mapping OWL based structure knowledge and SWRL based constraint knowledge into JESS facts and JESS rules respectively . Based on this an approach for automatically generating assembly tolerance types is proposed . Finally the effectiveness of the proposed approach is demonstrated by a practical example .""",In order to reduce the uncertainty and to support the semantic interoperability in assembly tolerance specification design an OWL based approach for automatically generating assembly tolerance types is proposed. As a result assembly tolerance representation knowledge has well defined semantics due to the logic based semantics of ontology making it possible to automatically detect inconsistencies of assembly tolerance representation knowledge bases. Furthermore actual generation processes of assembly tolerance types are carried out using Java Expert System Shell by mapping OWL based structure knowledge and SWRL based constraint knowledge into JESS facts and JESS rules respectively.
S0010448513001498," ""With traditional PLM people think toward the future first comes product development then manufacturing then support and finally disposal data flows only in the forward direction . With the CL concept there are also flows going backward enabling better visibility and control of the product throughout its PLC . CL uses intelligent products to gather information at any instant of the PLC and to make it available on downstream or upstream PLC phases . However the information is often deported on a database and is accessed remotely via a network pointer carried by the product . To bring the CL concept a step further this paper addresses a dual challenge providing a new kind of intelligent material capable of undergoing physical transformations without losing its communication ability and the data that is stored on it providing a framework to achieve a high degree of data synchronization . An applicative scenario is presented showing how this kind of material is put into practice in the context of communicating medical garments and how the requirements of the desired degree of data synchronization can be reached .""",To bring the CL concept a step further this paper addresses a dual challenge providing a new kind of intelligent material capable of undergoing physical transformations without losing its communication ability and the data that is stored on it providing a framework to achieve a high degree of data synchronization.
S0010448513000985," ""Human body modeling is a central task in computer graphics . In this paper we propose an intelligent model customization method in which customer s detailed geometric characteristics can be reconstructed using limited size features extracted from the customer s orthogonal view photos . To realize model customization we first propose a comprehensive shape representation to describe the geometrical shape characteristics of a human body . The shape representation has a layered structure and corresponds to important feature curves that define clothing size . Next we identify and model a novel relationship model between 2D size features and 3D shape features for each cross section using real subject scanned data . We predict a customer s cross sectional 3D shape based on size features extracted from the customer s photos and then we reconstruct the customer s shape representation using predicted cross sections . We develop a new deformation algorithm that deforms a template model into a customized shape using the reconstructed 3D shape representation . A total of 30 subjects male and female with varied body shapes have been recruited to verify the model customization method . The customized models show high degree of resemblance of the subjects with accurate body sizes the accuracy of the models is comparable to scan . It shows that the method is a feasible and efficient solution for human model customization that fulfills the specific needs of the clothing industry .""",In this paper we propose an intelligent model customization method in which customer s detailed geometric characteristics can be reconstructed using limited size features extracted from the customer s orthogonal view photos.
S0010448513002042," ""Family Mould Cavity Runner Layout Design is the most demanding and critical task in the early Conceptual Mould Layout Design phase . Traditional experience dependent manual FCMRLD workflow causes long design lead time non optimum designs and human errors . However no previous research can support FMCRLD automation and optimisation . The nature of FMCRLD is non repetitive and generative . The complexity of FMCRLD optimisation involves solving a complex two level combinatorial layout design optimisation problem . Inspired by the theory of evolutionary design in nature Survival of the Fittest and the biological genotype phenotype mapping process of the generation of form in living systems this research first proposes an innovative evolutionary FMCRLD approach using Genetic Algorithms and Mould Layout Design Grammars that can automate and optimise such generative and complex FMCRLD with its explorative and generative design process embodied in a stochastic evolutionary search . Based on this approach an Intelligent Conceptual Mould Layout Design System prototype has been developed . The ICMLDS is a powerful intelligent design system as well as an interactive design training system that can encourage and accelerate mould designers design alternative exploration exploitation and optimisation for better design in less time . This research innovates the traditional manual FMCRLD workflow to eliminate costly human errors and boost the less experienced mould designer s ability and productivity in performing FCMRLD during the CMLD phase .""",Inspired by the theory of evolutionary design in nature Survival of the Fittest and the biological genotype phenotype mapping process of the generation of form in living systems this research first proposes an innovative evolutionary FMCRLD approach using Genetic Algorithms and Mould Layout Design Grammars that can automate and optimise such generative and complex FMCRLD with its explorative and generative design process embodied in a stochastic evolutionary search.
S0010448513002406," ""In this paper we present a novel algorithm for the multi degree reduction of B zier curves with geometric constraints . Based on the given constraints we construct an objective function which is abstracted from the approximation error in norm . Two types of geometric constraints are tackled . With the constraints of continuity at one endpoint and continuity at the other endpoint we derive the optimal degree reduced curves in explicit form . With the constraints of continuity at two endpoints the problem of degree reduction is equivalent to minimizing a bivariate polynomial function of degree 4 . Compared with the traditional methods we derive the optimal degree reduced curves more effectively . Finally evaluation results demonstrate the effectiveness of our method .""",With the constraints of continuity at two endpoints the problem of degree reduction is equivalent to minimizing a bivariate polynomial function of degree 4.
S0010448513001012," ""In an industrial context most manufactured objects are designed using CAD software . For visualization data exchange or manufacturing applications the geometric model has to be discretized into a 3D mesh composed of a finite number of vertices and edges . However the initial model may sometimes be lost or unavailable . In other cases the 3D discrete representation may be modified e.g . after numerical simulation and no longer corresponds to the initial model . A retro engineering method is then required to reconstruct a 3D continuous representation from the discrete one . In this paper we present an automatic and comprehensive retro engineering process dedicated mainly to 3D meshes obtained initially by mechanical object discretization . First several improvements in automatic detection of geometric primitives from a 3D mesh are presented . Then a new formalism is introduced to define the topology of the object and compute the intersections between primitives . The proposed method is validated on 3D industrial meshes .""",In this paper we present an automatic and comprehensive retro engineering process dedicated mainly to 3D meshes obtained initially by mechanical object discretization.
S0010448513001619," ""Computing the Minkowski sum of two arbitrary polyhedra in is difficult because of high combinatorial complexity . We present an algorithm for directly computing a voxelization of the Minkowski sum of two closed watertight input polyhedra for applications such as path planning that do not require a boundary representation as output . We introduce a new decomposition formula for computing the Minkowski sum and prove its correctness . We describe an efficient Graphics Processing Unit implementation of the algorithm using stencil shadow volumes to create a solid voxelization of the Minkowski sum .""",We present an algorithm for directly computing a voxelization of the Minkowski sum of two closed watertight input polyhedra for applications such as path planning that do not require a boundary representation as output.
S0010448513001620," ""Solving polynomial systems of equations is an important problem in many fields such as computer aided design manufacturing and robotics . In recent years subdivision based solvers which typically make use of the properties of the B zier spline representation have proven successful in solving such systems of polynomial constraints . A major drawback in using subdivision solvers is their lack of scalability . When the given constraint is represented as a tensor product of its variables it grows exponentially in size as a function of the number of variables . In this paper we present a new method for solving systems of polynomial constraints which scales nicely for systems with a large number of variables and relatively low degree . Such systems appear in many application domains . The method is based on the concept of bounding hyperplane arithmetic which can be viewed as a generalization of interval arithmetic . We construct bounding hyperplanes which are then passed to a linear programming solver in order to reduce the root domain . We have implemented our method and present experimental results . The method is compared to previous methods and its advantages are discussed .""",In this paper we present a new method for solving systems of polynomial constraints which scales nicely for systems with a large number of variables and relatively low degree.
S0010448513002182," ""We propose a variational difference method for designing the optical free form surface of progressive addition lenses . The PAL which has a front surface with three important zones including the far view near view and intermediate zones is often used to remedy presbyopia by distributing optical powers of the three zones progressively and smoothly . The problem for designing PALs could be viewed as a functional minimization problem . Compared with the existing literature which solved the problem by the B spline finite element method the essence of the proposed variational difference numerical method lies in minimizing the functional directly by finite difference method and or numerical quadratures rather than in approximating the solution of the corresponding Euler Lagrange equation to the functional . It is very easily understood and implemented by optical engineers and the numerical results indicate that it can produce satisfactory designs for optical engineers in several seconds . We believe that our method can be a powerful candidate tool for designing various specifications of PALs .""",Compared with the existing literature which solved the problem by the B spline finite element method the essence of the proposed variational difference numerical method lies in minimizing the functional directly by finite difference method and or numerical quadratures rather than in approximating the solution of the corresponding Euler Lagrange equation to the functional.
S0010448513001462," ""There is a growing need within the footwear sector to customise the design of the last from which a specific footwear style is to be produced . This customisation is necessary for user comfort and health reasons as the user needs to wear a suitable shoe . For this purpose a relationship must be established between the user foot and the last with which the style will be made up until now no model has existed that integrates both elements . On the one hand traditional customised footwear manufacturing techniques are based on purely artisanal procedures which make the process arduous and complex on the other hand geometric models proposed by different authors present the impossibility of implementing them in an industrial environment with limited resources for the acquisition of morphometric and structural data for the foot apart from the fact that they do not prove to be sufficiently accurate given the non similarity of the foot and last . In this paper two interrelated geometric models are defined the first a bio deformable foot model and the second a deformable last model . The experiments completed show the goodness of the model with it obtaining satisfactory results in terms of comfort efficiency and precision which make it viable for use in the sector .""",On the one hand traditional customised footwear manufacturing techniques are based on purely artisanal procedures which make the process arduous and complex on the other hand geometric models proposed by different authors present the impossibility of implementing them in an industrial environment with limited resources for the acquisition of morphometric and structural data for the foot apart from the fact that they do not prove to be sufficiently accurate given the non similarity of the foot and last.
